face,xmin,ymin,zmin,xmax,ymax,zmax,cx,cy,cz
Yp,-1290.0000001000706,1589.9999998999542,-1445.0000000999812,-199.99999990005753,1690.0000000999858,-1224.9999998999388,-745.000000000064,1639.99999999997,-1334.99999999996
Xm,-1690.0000000999505,-650.000000100005,-1445.0000001000003,-1589.9999998999494,-259.99999990000504,-1224.9999998999997,-1639.99999999995,-455.000000000005,-1335.0
Zm,1194.9999998999554,-1570.0000000999487,-1450.000000100011,1565.0000001000446,1570.0000001000628,-1369.999999900009,1380.0,5.707079253625125e-11,-1410.00000000001
Zm,-1565.0000001000446,-1570.0000000999487,-1450.000000100011,-1194.9999998999554,1570.0000001000628,-1369.999999900009,-1380.0,5.707079253625125e-11,-1410.00000000001
Zm,-1170.0000000999653,-1565.000000100014,-1450.0000001000126,1170.0000001000462,-1194.9999998999458,-1369.9999999000074,4.0472514228895307e-11,-1379.99999999998,-1410.00000000001
Zm,-1170.0000000999653,1194.999999899986,-1450.0000001000126,1170.0000001000462,1565.0000001000542,-1369.9999999000074,4.0472514228895307e-11,1380.00000000002,-1410.00000000001
Zm,9.999999899957297,14.999999900061903,-1450.0000001000103,1170.0000001000005,391.6666666333952,-1369.9999999000074,589.999999999979,203.33333326672854,-1410.0000000000089
Zm,9.999999899957297,401.6666666333952,-1450.0000001000103,1170.0000001000005,778.3333333667285,-1369.9999999000074,589.999999999979,590.0000000000618,-1410.0000000000089
Zm,9.999999899957297,788.3333333667285,-1450.0000001000103,1170.0000001000005,1165.000000100062,-1369.9999999000074,589.999999999979,976.6666667333952,-1410.0000000000089
Zm,-1165.0000001000622,9.999999899957027,-1450.0000001000103,-788.3333333667288,1170.0000001000005,-1369.9999999000074,-976.6666667333955,589.9999999999787,-1410.0000000000089
Zm,-778.3333333667288,9.999999899957027,-1450.0000001000103,-401.6666666333955,1170.0000001000005,-1369.9999999000074,-590.0000000000621,589.9999999999787,-1410.0000000000089
