idx,cx,cy,cz,xmin,ymin,zmin,xmax,ymax,zmax,dx,dy,dz,vol_mm3
54,1697.0000000000207,-1359.9999999999386,-100.00000000002913,1679.9999999000204,-1365.0000000999394,-105.00000010002915,1714.000000100021,-1354.999999899938,-94.99999990002911,34.00000020000061,10.000000200001296,10.000000200000045,961.3273519984787
55,1697.0000000000207,-1359.9999999999386,-100.00000000002913,1679.9999999000206,-1363.0000000999391,-103.00000010002915,1714.0000001000208,-1356.9999998999378,-96.99999990002911,34.00000020000016,6.0000002000012955,6.000000200000045,961.3273519984759
56,1697.0000000000207,-1363.4808266337272,-99.63415037859015,1679.9999999000206,-1363.980826733728,-100.13415047859017,1714.0000001000208,-1362.9808265337267,-99.13415027859013,34.00000020000016,1.0000002000012955,1.000000200000045,26.70353755551325
57,1697.0000000000207,-1362.6010068891078,-97.65804287777149,1679.9999999000206,-1363.1010069891086,-98.1580429777715,1714.0000001000208,-1362.1010067891073,-97.15804277777147,34.00000020000016,1.0000002000012955,1.0000002000000308,26.703537555513208
58,1697.0000000000207,-1363.0310889131852,-101.75000000002723,1679.9999999000206,-1363.531089013186,-102.25000010002724,1714.0000001000208,-1362.5310888131846,-101.2499999000272,34.00000020000016,1.0000002000012955,1.0000002000000308,26.703537555513144
59,1697.0000000000207,-1359.2723090820787,-103.42351660259791,1679.9999999000206,-1359.7723091820792,-103.92351670259794,1714.0000001000208,-1358.772308982078,-102.9235165025979,34.00000020000016,1.0000002000012955,1.0000002000000308,26.70353755551328
60,1697.0000000000207,-1356.51917336615,-100.36584962146812,1679.9999999000206,-1357.0191734661505,-100.86584972146814,1714.0000001000208,-1356.0191732661492,-99.86584952146809,34.00000020000016,1.0000002000012955,1.000000200000045,26.703537555513297
61,1697.0000000000207,-1358.5764217491715,-96.80259089828093,1679.9999999000206,-1359.076421849172,-97.30259099828093,1714.0000001000208,-1358.0764216491707,-96.3025907982809,34.00000020000016,1.0000002000012955,1.0000002000000308,26.70353755551318
62,1697.0000000000207,-1361.7499999999368,-96.9689110867825,1679.9999999000206,-1362.2500000999373,-97.4689111867825,1714.0000001000208,-1361.249999899936,-96.46891098678248,34.00000020000016,1.0000002000012955,1.0000002000000308,26.703537555513265
63,1697.0000000000207,-1357.658042877681,-97.39899311085972,1679.9999999000206,-1358.1580429776816,-97.89899321085974,1714.0000001000208,-1357.1580427776803,-96.89899301085971,34.00000020000016,1.0000002000012955,1.0000002000000308,26.703537555513265
64,1697.0000000000207,-1356.8025908981904,-101.42357825079645,1679.9999999000206,-1357.302590998191,-101.92357835079646,1714.0000001000208,-1356.3025907981896,-100.92357815079643,34.00000020000016,1.0000002000012955,1.0000002000000308,26.703537555513268
65,1697.0000000000207,-1360.3658496213775,-103.48082663381786,1679.9999999000206,-1360.8658497213783,-103.98082673381788,1714.0000001000208,-1359.865849521377,-102.98082653381785,34.00000020000016,1.0000002000012955,1.0000002000000308,26.70353755551323
66,1697.0000000000207,-1363.4235166025073,-100.72769091788913,1679.9999999000206,-1363.923516702508,-101.22769101788914,1714.0000001000208,-1362.9235165025068,-100.22769081788911,34.00000020000016,1.0000002000012955,1.0000002000000308,26.703537555513204
67,1697.0000000000207,-1363.1974091016868,-98.57642174926181,1679.9999999000206,-1363.6974092016874,-99.07642184926183,1714.0000001000208,-1362.697409001686,-98.0764216492618,34.00000020000016,1.0000002000012955,1.0000002000000308,26.703537555513304
68,1697.0000000000207,-1362.3419571221962,-102.60100688919854,1679.9999999000206,-1362.841957222197,-103.10100698919855,1714.0000001000208,-1361.8419570221956,-102.10100678919852,34.00000020000016,1.0000002000012955,1.0000002000000308,26.70353755551316
69,1697.0000000000207,-1358.2499999999404,-103.03108891327577,1679.9999999000206,-1358.7500000999412,-103.53108901327579,1714.0000001000208,-1357.74999989994,-102.53108881327576,34.00000020000016,1.0000002000012955,1.0000002000000308,26.70353755551327
70,1697.0000000000207,-1356.5764833973699,-99.27230908216913,1679.9999999000206,-1357.0764834973704,-99.77230918216915,1714.0000001000208,-1356.0764832973691,-98.77230898216912,34.00000020000016,1.0000002000012955,1.0000002000000308,26.703537555513243
71,1697.0000000000207,-1359.6341503784997,-96.51917336624041,1679.9999999000206,-1360.1341504785003,-97.01917346624042,1714.0000001000208,-1359.134150278499,-96.01917326624039,34.00000020000016,1.0000002000012955,1.0000002000000308,26.703537555513286
72,1697.0000000000207,-1360.7276909177986,-96.57648339746035,1679.9999999000206,-1361.227691017799,-97.07648349746036,1714.0000001000208,-1360.2276908177978,-96.07648329746033,34.00000020000016,1.0000002000012955,1.0000002000000308,26.70353755551332
73,1697.0000000000207,-1356.968911086692,-98.25000000003104,1679.9999999000206,-1357.4689111866926,-98.75000010003106,1714.0000001000208,-1356.4689109866913,-97.74999990003103,34.00000020000016,1.0000002000012955,1.0000002000000308,26.70353755551327
74,1697.0000000000207,-1357.398993110769,-102.34195712228677,1679.9999999000206,-1357.8989932107697,-102.8419572222868,1714.0000001000208,-1356.8989930107684,-101.84195702228676,34.00000020000016,1.0000002000012955,1.0000002000000308,26.703537555513165
75,1697.0000000000207,-1361.4235782507058,-103.19740910177734,1679.9999999000206,-1361.9235783507065,-103.69740920177736,1714.0000001000208,-1360.9235781507052,-102.69740900177733,34.00000020000016,1.0000002000012955,1.0000002000000308,26.703537555513236
76,1697.0000000000207,-1359.9999999999386,-100.00000000002913,1679.9999999000206,-1363.0000000999391,-103.00000010002915,1714.0000001000208,-1356.9999998999378,-96.99999990002911,34.00000020000016,6.0000002000012955,6.000000200000045,961.3273519984759
77,1709.99999999993,-899.9999999999377,-100.00000000002935,1699.9999998994622,-934.0000000999436,-134.00000010003524,1720.000000100398,-865.9999998999318,-65.99999990002345,20.0000002009358,68.00000020001175,68.00000020001178,38492.860403223625
78,1701.4000000000076,-899.9999999999377,-100.00000000002936,1699.9999999000065,-931.3445312824042,-131.34453128249592,1702.8000001000087,-868.6554687174712,-68.6554687175628,2.8000002000021595,62.68906256493301,62.689062564933124,1708.2801146081565
79,1708.4999999996435,-899.999999999937,-100.00000000002933,1690.9999998992769,-934.0000000999371,-134.00000010002933,1726.0000001000099,-865.999999899937,-65.99999990002934,35.000000200732984,68.00000020000004,68.00000019999999,36891.352085317
80,1715.7500000000075,-899.9999999999372,-100.00000000002935,1713.6999999000068,-927.2423946511414,-127.2423946512335,1717.8000001000082,-872.7576053487331,-72.7576053488252,4.100000200001432,54.48478930240822,54.4847893024083,1466.25239575134
81,1695.5500000000075,-899.9999999999378,-100.00000000002936,1694.4999999000072,-907.9939073813722,-107.99390738146379,1696.6000001000077,-892.0060926185034,-92.00609261859493,2.1000002000005225,15.987814762868766,15.987814762868851,168.17644551047857
82,1697.7500000000075,-899.9999999999378,-100.00000000002936,1696.6999999000072,-907.9939073813722,-107.99390738146379,1698.8000001000078,-892.0060926185034,-92.00609261859493,2.1000002000005225,15.987814762868766,15.987814762868851,168.176445520538
83,1714.9000000000083,-899.9999999999367,-100.00000000002932,1698.7946285280416,-936.505322555142,-136.5053225567831,1731.0053714719747,-863.4946774447313,-63.49467744327553,32.210742943933155,73.01064511041068,73.0106451135076,19297.27161875485
84,1697.0000000000077,-899.9999999999379,-100.00000000002937,1679.9999999000074,-905.0000000999383,-105.0000001000294,1714.000000100008,-894.9999998999374,-94.99999990002935,34.00000020000061,10.000000200000954,10.000000200000045,961.3273519984768
85,1697.0000000000077,-899.9999999999377,-100.00000000002937,1679.9999999000077,-903.0000000999382,-103.0000001000294,1714.0000001000078,-896.9999998999373,-96.99999990002935,34.00000020000016,6.0000002000009545,6.000000200000045,961.3273519984768
86,1697.0000000000077,-903.4808266337266,-99.63415037859033,1679.9999999000077,-903.980826733727,-100.13415047859034,1714.0000001000078,-902.980826533726,-99.13415027859031,34.00000020000016,1.0000002000009545,1.0000002000000308,26.703537555513222
87,1697.0000000000077,-902.6010068891071,-97.65804287777169,1679.9999999000077,-903.1010069891076,-98.1580429777717,1714.0000001000078,-902.1010067891067,-97.15804277777167,34.00000020000016,1.0000002000009545,1.0000002000000308,26.70353755551322
88,1697.0000000000077,-903.0310889131845,-101.7500000000274,1679.9999999000077,-903.531089013185,-102.25000010002742,1714.0000001000078,-902.531088813184,-101.24999990002739,34.00000020000016,1.0000002000009545,1.0000002000000308,26.703537555513176
89,1697.0000000000077,-899.272309082078,-103.42351660259817,1679.9999999000077,-899.7723091820784,-103.92351670259819,1714.0000001000078,-898.7723089820774,-102.92351650259816,34.00000020000016,1.0000002000009545,1.0000002000000308,26.70353755551324
90,1697.0000000000077,-896.5191733661491,-100.36584962146841,1679.9999999000077,-897.0191734661496,-100.86584972146844,1714.0000001000078,-896.0191732661486,-99.8658495214684,34.00000020000016,1.0000002000009545,1.0000002000000308,26.703537555513257
91,1697.0000000000077,-898.5764217491703,-96.80259089828118,1679.9999999000077,-899.0764218491709,-97.3025909982812,1714.0000001000078,-898.0764216491699,-96.30259079828117,34.00000020000016,1.0000002000009545,1.0000002000000308,26.703537555513204
92,1697.0000000000077,-901.7499999999359,-96.9689110867827,1679.9999999000077,-902.2500000999363,-97.46891118678272,1714.0000001000078,-901.2499998999353,-96.46891098678269,34.00000020000016,1.0000002000009545,1.0000002000000308,26.703537555513265
93,1697.0000000000077,-897.6580428776801,-97.39899311086,1679.9999999000077,-898.1580429776806,-97.89899321086003,1714.0000001000078,-897.1580427776796,-96.89899301086,34.00000020000016,1.0000002000009545,1.0000002000000308,26.703537555513243
94,1697.0000000000077,-896.8025908981897,-101.42357825079677,1679.9999999000077,-897.3025909981901,-101.92357835079677,1714.0000001000078,-896.3025907981892,-100.92357815079674,34.00000020000016,1.0000002000009545,1.0000002000000308,26.70353755551325
95,1697.0000000000077,-900.3658496213768,-103.48082663381811,1679.9999999000077,-900.8658497213773,-103.98082673381812,1714.0000001000078,-899.8658495213764,-102.98082653381809,34.00000020000016,1.0000002000009545,1.0000002000000308,26.703537555513222
96,1697.0000000000077,-903.4235166025067,-100.7276909178893,1679.9999999000077,-903.9235167025071,-101.22769101788933,1714.0000001000078,-902.9235165025061,-100.2276908178893,34.00000020000016,1.0000002000009545,1.0000002000000308,26.703537555513286
97,1697.0000000000077,-903.1974091016859,-98.57642174926198,1679.9999999000077,-903.6974092016865,-99.076421849262,1714.0000001000078,-902.6974090016855,-98.07642164926197,34.00000020000016,1.0000002000009545,1.0000002000000308,26.70353755551322
98,1697.0000000000077,-902.3419571221955,-102.60100688919874,1679.9999999000077,-902.841957222196,-103.10100698919875,1714.0000001000078,-901.8419570221951,-102.10100678919872,34.00000020000016,1.0000002000009545,1.0000002000000308,26.703537555513208
99,1697.0000000000077,-898.2499999999397,-103.03108891327605,1679.9999999000077,-898.7500000999403,-103.53108901327606,1714.0000001000078,-897.7499998999393,-102.53108881327603,34.00000020000016,1.0000002000009545,1.0000002000000308,26.70353755551325
100,1697.0000000000077,-896.576483397369,-99.27230908216944,1679.9999999000077,-897.0764834973695,-99.77230918216945,1714.0000001000078,-896.0764832973686,-98.77230898216942,34.00000020000016,1.0000002000009545,1.0000002000000308,26.703537555513325
