idx,cx,cy,cz,xmin,ymin,zmin,xmax,ymax,zmax,dx,dy,dz,vol_mm3
58,-744.9999999999338,1605.0,-1324.99999999996,-1290.0000000999346,1599.999999899998,-1440.0000000999635,-199.99999989993316,1610.000000100002,-1209.9999998999567,1090.0000002000015,10.000000200003797,230.00000020000675,2507000.0
59,1400.00000000005,1.2758469676460766e-11,-1399.99999999995,1199.9999999000354,-1600.000000099989,-1450.0000000999505,1600.0000001000647,1600.0000001000149,-1349.9999998999494,400.00000020002926,3200.000000200004,100.00000020000107,31327999.999999985
60,-1399.99999999995,1.2758469676460766e-11,-1399.99999999995,-1600.0000000999646,-1600.000000099989,-1450.0000000999505,-1199.9999998999353,1600.0000001000149,-1349.9999998999494,400.00000020002926,3200.000000200004,100.00000020000107,31327999.999999985
61,3.92686112965846e-11,-1399.99999999997,-1399.99999999995,-1200.0000000999628,-1600.000000099981,-1450.0000000999526,1200.000000100041,-1199.999999899959,-1349.9999998999474,2400.000000200004,400.000000200022,100.00000020000516,23648000.0
62,3.7890734734547475e-11,1400.00000000003,-1399.99999999995,-1200.000000099964,1199.999999900019,-1450.0000000999526,1200.0000001000399,1600.000000100041,-1349.9999998999474,2400.000000200004,400.000000200022,100.00000020000516,23648000.00000003
63,1188.7540643904536,-696.7617787334377,32.46068557960941,288.6749999000524,-1700.0000000999867,-50.00000009994995,1700.0000001000528,1.0002461320036673e-07,50.000000100051466,1411.3250002000004,1700.0000002000113,100.00000020000141,20674759.91237917
64,1202.3376734222238,-706.5233614019062,-44.999999999949026,305.9955079757414,-1690.0000000999867,-50.000000099949936,1690.0000001000526,-9.999999899975558,-39.99999989994854,1384.0044921243111,1680.000000200011,10.000000200001395,14913708.465524422
65,1110.5798580111627,-399.99584820938423,5.087040830572665e-11,528.2753616137443,-405.0000000999866,-40.00000009994971,1690.0000001000494,-394.9999998999773,40.00000010005145,1161.7246384863051,10.00000020000931,80.00000020000115,927070.3095522781
66,1226.0496135554051,-799.9948148897791,5.098369002256962e-11,759.2154692895912,-805.0000000999866,-40.00000009994948,1690.0000001000465,-794.999999899979,40.00000010005145,930.7845308104553,10.000000200007548,80.00000020000093,742318.2234116087
67,1341.519171417709,-1199.9930967798323,5.1105231143497986e-11,990.1555769654389,-1205.0000000999867,-40.00000009994925,1690.0000001000433,-1194.9999998999808,40.00000010005145,699.8444231346044,10.000000200005843,80.0000002000007,557566.1372709235
68,1188.7540643904538,696.7617787334373,32.46068557960541,288.6749999000524,-1.0002461320036673e-07,-50.00000009995395,1700.0000001000528,1700.0000000999867,50.000000100047465,1411.3250002000004,1700.0000002000113,100.00000020000141,20674759.91237918
